"Formula","S1","S2","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S17","S18","S19"
"C53H100","30727422","16837526","6143998","6094025","7238619","2403873","19292242","25070484","39043612","50335344","5610327","1711433","18774112","36197108","3664650","40565740"
"C54H102","24577010","22218112","4662047","4918017","5389383","1786821","17954786","28921672","32915092","50862024","5031778","1484918","22297268","31967422","3118248","30127942"
"C55H104","40944940","27786384","4967715","5345682","3575392","1909873","17207004","22631188","34133852","52052052","5140442","1162871","17742302","37658124","2626446","33522524"
"C56H106","35556652","20979814","4616245","4321741","3980839","1055520","14345689","41477648","28556346","40007728","4825086","5249825","34090352","28259336","2179406","32210498"
"C57H108","36927508","37381748","4546333","3651518","4148131","1515467","13069753","39442812","32399212","46829488","3805967","14192449","34960856","29846480","2231679","33134212"
"C58H110","50119176","32139050","3764407","3590996","3965658","1689708","13993823","39637748","28029790","45373220","3750011","19975836","40376568","29406652","1826726","29723798"
"C59H112","50865900","29209226","3675139","2736251","2667500","1383421","13403048","54706052","27675266","42589876","3669445","24150632","55980736","25325668","1800712","26317172"
"C60H114","56741804","44790944","2847378","2311963","3079067","4034031","10920571","52561872","25245136","42985052","2379704","17688088","52405992","23829030","1358546","33814040"
"C61H116","58055424","40909124","2281545","2440950","2474224","7696031","10267243","57569928","24359732","37318180","2384675","34610636","58707564","24609118","1783333","26786676"
"C62H118","49801104","52826488","2855203","2106810","2214127","7734871","8196590","65699412","20926518","41604604","2009272","35209532","62052420","21550420","1763369","26853850"
"C63H120","38941700","57154604","2752535","1704722","2186400","10418301","8359801","53717548","22608472","35298776","2169538","38594316","58147676","17709102","2314895","24590554"
"C64H122","46227348","48166976","2362970","1590444","1545336","22073912","8260030","44381596","21041234","36177316","2021745","55011808","47599264","17730720","7352095","22552564"
"C65H124","42740228","39711900","2235153","1235702","1955326","18856738","6211822","50675804","18773152","33910092","1795295","52165708","55630188","17065310","6763088","19732142"
"C66H126","38581024","44048528","2012012","1695038","1382556","30405778","6587864","47098388","18246262","31241394","1482035","55787488","53846916","12633177","16179133","21380280"
"C67H128","38173364","42904528","2042595","1484300","4158073","31677604","5402958","43299464","19391756","29752216","1188737","60913004","46533812","12339193","17516534","17375936"
"C68H130","34251008","38180376","2213351","1256936","7462120","44200328","5297183","44390804","11599527","29811136","1122673","56556992","50246864","10753438","17940474","15968711"
"C69H132","40830676","39599916","1442315","2835347","8319996","41636536","5562099","39911176","13552962","24733432","2177952","45328788","46062576","10627750","25559800","16569037"
"C70H134","32099616","35464964","1226834","11571112","12011030","47342516","3971625","49791736","11502992","21691462","6519976","51378228","54010536","8391833","29109310","16260811"
"C71H136","32855242","43183612","2539823","13662387","25285492","42977244","3100187","39634644","11004996","20898762","7345374","50800480","47753616","9880095","35788728","13573524"
"C72H138","33005094","35189880","6838752","17519264","19823620","51011588","2797349","36998304","9172572","22937528","14570175","45601984","41070920","8411737","49951096","12008790"
"C73H140","28362822","35396304","6808240","24454378","36184376","34921092","3267983","36722272","9540311","17531318","15671817","49323540","42555928","7648365","39597420","10869792"
"C74H142","28783132","36045132","15373318","18676382","36996416","46077352","3372322","33080518","9109910","14698507","16033224","45359864","40895416","7110582","39464188","9246721"
"C75H144","29547154","35244012","17524036","19403988","52367952","37097388","3028322","32724288","7608951","13438905","20323240","55633380","37645756","6690306","52442828","8456031"
"C76H146","25461054","33992360","16432868","35806092","50410472","43575112","2088917","34227396","7077245","11625920","22734500","41904524","42244040","5167780","33141086","7637749"
"C77H148","21260222","38385016","25985852","42728404","53069192","41749788","1601534","28299374","4926518","11638685","27160500","42242208","35979696","4530422","26164030","7693424"
"C78H150","23638032","30842000","23790346","39448668","55188112","36196932","1153907","25786422","5030182","11113449","38482412","43883576","32664620","3395629","24183732","7308670"
"C18H28","23338040","27182312","32781282","34903004","60597160","43784164","1569766","27467478","4851411","9982306","33297488","40913412","35395604","4063490","25750318","6389707"
"C19H30","16027026","29429660","47017736","41496828","42811100","36142868","1269602","28141350","3479468","9619186","34015360","35878716","36562500","4001263","22962742","4904017"
"C20H32","16093793","29007304","42431952","33472740","57809428","35948556","3555743","15076249","3129460","8644263","40271520","39919904","19814224","3573089","23996756","4747989"
"C21H34","14575619","17965084","45051668","29573774","48677692","38801920","13114313","19534890","3569772","7806315","27543236","35972684","26127012","2935747","21258460","3600128"
"C22H36","13872086","20976974","65591704","28024016","54061284","33528854","14321567","16914410","3591882","6426687","21512436","31664554","23256914","2646013","25020590","3495034"
"C23H38","12487531","18475902","42480712","32671354","54373436","30156144","18485216","15810021","2687686","5544707","20704446","31493882","20542566","1699727","20795548","3615458"
"C24H40","13460923","17817802","34070188","32423574","46452524","32034168","25131978","13984842","2285533","4581157","21567710","33282552","19851474","1400299","20838520","3512727"
"C25H42","11799132","16802656","33032292","35689848","57029528","28439806","20425962","13584219","1292264","3940294","17994754","16860506","22166166","1956929","20103194","2642899"
"C26H44","10926307","16650680","31924508","28179464","48569188","25804110","20878800","13239059","1829572","4383759","20892890","23733996","19113810","1487069","18966382","3161298"
"C27H46","9855262","16104047","29325482","35783456","48793264","27084724","35918880","12104623","1341007","4237809","17797852","20845320","17050790","4497131","18108002","2781136"
"C28H48","9807206","14343199","30220074","29559720","51442604","28374386","43072296","10594853","1646658","3809594","23209782","20868622","15104138","16615599","18322666","1911926"
"C29H50","7518628","13309362","24904892","31315402","46710884","21272152","39321124","7928752","1469981","3087988","17840974","18973840","12635383","12448645","16395041","1409366"
"C30H52","6644168","10234190","27969926","31010958","42380012","21297200","35498048","7474610","1669974","2943458","18153610","18646194","12222050","27910664","13337102","1330970"
"C31H54","3965322","10193701","22916626","25406170","44102108","18065558","53836972","6212804","1334289","2223897","17053640","17243460","9609547","31801384","13474553","1280111"
"C32H56","5474436","8118126","25010982","21734292","37754560","18351406","37303484","4409611","1270236","1161139","16265250","15473940","6065666","32374850","14260013","1460724"
